구,동,아파트명,세대수,준공년월,공급면적(㎡),전용면적(㎡),공급면적(평),KB매매시세(만원),KB매매시세,매매상한가(만원),매매하한가(만원),도로명주소,단지ID
용산구,한남동,한남해피트리,68,2016.09,85.93,66.11,25.99,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
용산구,한남동,한남해피트리,68,2016.09,86.32,66.46,26.11,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
용산구,한남동,현대리버티하우스,80,2001.02,97.37,82.75,29.45,140000,14억,150000,130000,서울특별시 용산구 독서당로 70,2376
용산구,한남동,현대리버티하우스,80,2001.02,125.68,106.81,38.01,147500,"14억 7,500만 원",157500,137500,서울특별시 용산구 독서당로 70,2376
용산구,한남동,현대리버티하우스,80,2001.02,154.22,131.07,46.65,160000,16억,170000,150000,서울특별시 용산구 독서당로 70,2376
용산구,효창동,효창베네스,87,2002.03,156.73,118.60,47.41,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 효창원로69길 57,2188
용산구,효창동,효창파크푸르지오,307,2010.08,77.01,59.41,23.29,158000,"15억 8,000만 원",164000,151500,서울특별시 용산구 백범로 260,22252
용산구,효창동,효창한신,120,1987.10,140.50,112.41,42.50,150000,15억,155000,139000,서울특별시 용산구 백범로45길 9-11,2355
용산구,효창동,효창한신,120,1987.10,140.56,112.47,42.51,150000,15억,155000,139000,서울특별시 용산구 백범로45길 9-11,2355
용산구,효창동,효창한신,120,1987.10,149.50,121.41,45.22,155000,"15억 5,000만 원",158500,143500,서울특별시 용산구 백범로45길 9-11,2355
용산구,효창동,효창한신,120,1987.10,149.66,121.38,45.27,155000,"15억 5,000만 원",158500,143500,서울특별시 용산구 백범로45길 9-11,2355
원미구,중동,리첸시아중동,572,2012.01,193.37,140.61,58.49,140500,14억 500만 원,149500,121500,경기도 부천시 원미구 옥산로 7,22009
원미구,중동,리첸시아중동,572,2012.01,215.09,156.04,65.06,151000,"15억 1,000만 원",156000,144000,경기도 부천시 원미구 옥산로 7,22009
원미구,중동,리첸시아중동,572,2012.01,208.64,151.09,63.11,153500,"15억 3,500만 원",159500,148000,경기도 부천시 원미구 옥산로 7,22009
은평구,녹번동,래미안베라힐즈,1305,2019.08,156.22,114.99,47.25,154000,"15억 4,000만 원",158500,147500,서울특별시 은평구 통일로 630,32239
