id,name,type,lat,lon,address,operator,source
station_unique:592,소사역,서해선,37.482755,126.7950654,경기도 부천시 소사구 경인로 363,한국철도공사,전체_도시철도역사정보_20260228
station_unique:593,소사역,경인선,37.482755,126.795654,경기도 부천시 소사구 경인로 363,한국철도공사,전체_도시철도역사정보_20260228
station_unique:594,소새울역,서해선,37.4685046,126.797228,경기도 부천시 소사로 지하 284,한국철도공사,전체_도시철도역사정보_20260228
station_unique:595,소요산역,경원선,37.948608,127.061007,경기도 동두천시 평화로 2925(상봉암동 126),한국철도공사,전체_도시철도역사정보_20260228
station_unique:596,소태,광주도시철도 1호선,35.124108,126.932013,광주광역시 동구 남문로 지하 587(소태동),광주교통공사,전체_도시철도역사정보_20260228
station_unique:597,솔밭공원,우이신설선,37.65607,127.01326,서울특별시 강북구 삼양로 595,우이신설경전철운영㈜,전체_도시철도역사정보_20260228
station_unique:598,솔샘,우이신설선,37.62037,127.01357,서울특별시 강북구 솔샘로 지하 189,우이신설경전철운영㈜,전체_도시철도역사정보_20260228
station_unique:599,송내역,경인선,37.487626,126.753045,경기도 부천시 소사구 송내대로 43,한국철도공사,전체_도시철도역사정보_20260228
station_unique:600,송도달빛축제공원,인천지하철 1호선,37.40687495,126.6260537,인천광역시 연수구 송도동 340,인천교통공사,전체_도시철도역사정보_20260228
station_unique:601,송도역,수인선,37.429714,126.654486,인천시 연수구 비류대로 175(옥련동),한국철도공사,전체_도시철도역사정보_20260228
station_unique:602,송산,의정부,37.7371698,127.0872755,경기도 의정부시 충의로 59,의정부경량전철㈜,전체_도시철도역사정보_20260228
station_unique:603,송정,5호선,37.561201,126.812052,서울특별시 강서구 공항대로 지하33(공항동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:604,송정공원,광주도시철도 1호선,35.143565,126.799245,광주광역시 광산구 상무대로 지하 314-99(송정동),광주교통공사,전체_도시철도역사정보_20260228
station_unique:605,송정역,동해선,35.187832,129.202069,부산시 해운대구 해운대로 1147,한국철도공사,전체_도시철도역사정보_20260228
station_unique:606,송탄역,경부선,37.075376,127.054397,경기도 평택시 신장동 송탄공원로 43,한국철도공사,전체_도시철도역사정보_20260228
station_unique:607,송파,8호선,37.49978,127.11212,서울특별시 송파구 송파대로 지하354(가락동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:608,송파나루,수도권  도시철도 9호선,37.51055,127.112451,서울특별시 송파구 백제고분로 지하 446,서울시메트로9호선㈜,전체_도시철도역사정보_20260228
station_unique:609,송현,대구 도시철도 1호선,35.831092,128.551755,달서구 월배로 지하412 (송현동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:610,수내역,분당선,37.378435,127.114216,경기도 성남시 분당구 성남대로 지하 491(수내동),한국철도공사,전체_도시철도역사정보_20260228
station_unique:611,수락산,7호선,37.677804,127.055314,서울특별시 노원구 동일로 지하1662(상계동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:612,수로왕릉,부산김해경전철,35.2328215,128.8721409,경상남도 김해시 김해대로 2181,부산-김해경전철㈜,전체_도시철도역사정보_20260228
station_unique:613,수리산역,안산과천선,37.350297,126.925537,경기도 군포시 번영로 385,한국철도공사,전체_도시철도역사정보_20260228
station_unique:614,수색역,경의중앙선,37.580855,126.895681,서울시 은평구 수색로 261-1,한국철도공사,전체_도시철도역사정보_20260228
station_unique:615,수서,3호선,37.4875,127.101924,서울특별시 강남구 광평로 지하270(수서동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:616,수서역,분당선,37.487633,127.101118,서울시 강남구 광평로 지하 270(수서동),한국철도공사,전체_도시철도역사정보_20260228
station_unique:617,수성구민운동장,대구 도시철도 3호선,35.85240979,128.6251246, 수성구 동대구로 248(범어동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:618,수성구청(KBS),대구 도시철도 2호선,35.85874022,128.6359517,수성구 달구벌대로 지하2500 (범어동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:619,수성못(TBC),대구 도시철도 3호선,35.83135605,128.6232167, 수성구 동대구로 14(지산동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:620,수성시장,대구 도시철도 3호선,35.85431676,128.6160292, 수성구 명덕로 420(수성동2가),대구교통공사,전체_도시철도역사정보_20260228
station_unique:621,수성알파시티(삼성라이온즈파크),대구 도시철도 2호선,35.842718,128.67999,수성구 달구벌대로 지하2950 (연호동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:622,수안,부산 경량도시철도 4호선,35.20183,129.08378,부산광역시 동래구 충렬대로 지하 223,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:623,수영,부산 도시철도 2호선,35.16578,129.114842,부산광역시 수영구 수영로 지하 677,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:624,수영,부산 도시철도 3호선,35.16775,129.11458,부산광역시 수영구 수영로 677,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:625,수원시청역,분당선,37.261941,127.030736,경기도 수원시 권선구 효원로 270,한국철도공사,전체_도시철도역사정보_20260228
station_unique:626,수원역,경부선,37.266162,126.999821,경기도 수원시 팔달구 덕영대로 924,한국철도공사,전체_도시철도역사정보_20260228
station_unique:627,수원역(분당),분당선,37.266162,127.000082,경기도 수원시 팔달구 덕영대로 944,한국철도공사,전체_도시철도역사정보_20260228
station_unique:628,수유(강북구청),4호선,37.637727,127.025371,서울특별시 강북구 도봉로 지하338(수유동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:629,수정,부산 도시철도 2호선,35.22336,129.00922,부산광역시 북구 금곡대로 지하160 ,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:630,수지구청,신분당선,37.32250096,127.09477813,경기도 용인시 수지구 풍덕천로 지하120 ,경기도 신분당선,전체_도시철도역사정보_20260228
station_unique:631,수진,8호선,37.437575,127.140936,경기도 성남시 수정구 산성대로 지하200(수진동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:632,숙대입구(갈월),4호선,37.5447834,126.9721,서울특별시 용산구 한강대로 지하306(갈월동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:633,숙등,부산 도시철도 3호선,35.21197,129.01275,부산광역시 북구 만덕대로 지하 79,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:634,숭실대입구(살피재),7호선,37.496258,126.953649,서울특별시 동작구 상도로 지하378(상도동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:635,숭의역,수인선,37.460891,126.638035,인천시 남구 인주대로 지하6,한국철도공사,전체_도시철도역사정보_20260228
station_unique:636,시민공원,인천지하철 2호선,37.458339,126.6810091,인천광역시 미추홀구 경인로 371 (주안동),인천교통공사,전체_도시철도역사정보_20260228
station_unique:637,시우역,서해선,37.3130967,126.795503,경기도 안산시 단원구 동산로 지하 50,한국철도공사,전체_도시철도역사정보_20260228
station_unique:638,시청,대전 도시철도 1호선,36.351673,127.386739,대전광역시 서구 둔산중로 지하 55(둔산동),대전교통공사,전체_도시철도역사정보_20260228
station_unique:639,시청,2호선,37.563534,126.975271,서울특별시 중구 서소문로 지하127(서소문동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:640,시청,1호선,37.565211,126.977207,서울특별시 중구 세종대로 지하101(정동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:641,시청(연제),부산 도시철도 1호선,35.17972,129.07667,부산광역시 연제구 중앙대로 지하 1017,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:642,시청·용인대,에버라인,37.23944203,127.1788851,경기도 용인시 처인구 중부대로 1199-1,경기도 용인경전철,전체_도시철도역사정보_20260228
station_unique:643,시흥능곡역,서해선,37.3699903,126.808594,경기도 시흥시 시흥대로 지하 327,한국철도공사,전체_도시철도역사정보_20260228
station_unique:644,시흥대야역,서해선,37.4504787,126.793142,경기도 부천시 소사로 지하 120,한국철도공사,전체_도시철도역사정보_20260228
station_unique:645,시흥시청역,서해선,37.3814109,126.805946,경기도 시흥시 시흥대로 지하 467,한국철도공사,전체_도시철도역사정보_20260228
station_unique:646,신갈역,분당선,37.286127,127.111311,경기도 용인시 기흥구 기흥로 136,한국철도공사,전체_도시철도역사정보_20260228
station_unique:647,신검단중앙,인천지하철 1호선,37.6026,126.698611,인천광역시 서구 원당로652,인천교통공사,전체_도시철도역사정보_20260228
station_unique:648,신금호,5호선,37.554504,127.020403,서울특별시 성동구 금호로 지하154(금호동2가),서울교통공사,전체_도시철도역사정보_20260228
station_unique:649,신기,대구 도시철도 1호선,35.866761,128.701724,동구 안심로 지하159 (신기동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:650,신길,5호선,37.51763,126.914886,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),서울교통공사,전체_도시철도역사정보_20260228
station_unique:651,신길역,경부선,37.517018,126.917743,서울시 영등포구 영등포로 327,한국철도공사,전체_도시철도역사정보_20260228
station_unique:652,신내,6호선,37.612571,127.104326,서울특별시 중랑구 용마산로136길 33 신내차량기지,서울교통공사,전체_도시철도역사정보_20260228
station_unique:653,신내역,경춘선,37.612855,127.103277,서울시 중랑구 망우동 320-2,한국철도공사,전체_도시철도역사정보_20260228
station_unique:654,신논현,신분당선,37.50405543,127.0247306,서울특별시 강남구 강남대로 302-2,경기도 신분당선,전체_도시철도역사정보_20260228
station_unique:655,신논현,서울 도시철도 9호선,37.504444,127.024417,서울특별시 강남구 봉은사로 지하102,서울특별시 서울시메트로9호선㈜,전체_도시철도역사정보_20260228
station_unique:656,신답,2호선,37.569847,127.047048,서울특별시 성동구 천호대로 232(용답동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:657,신당,2호선,37.565675,127.0194259,서울특별시 중구 퇴계로 지하431-1(신당동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:658,신당,6호선,37.566174,127.016158,서울특별시 중구 다산로 지하260(흥인동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:659,신대방,2호선,37.487604,126.913479,서울특별시 동작구 대림로 2(신대방동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:660,신대방삼거리,7호선,37.499717,126.928218,서울특별시 동작구 상도로 지하76(대방동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:661,신도림,2호선,37.508815,126.891222,서울특별시 구로구 새말로 지하 117-21(신도림동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:662,신도림역,경부선,37.508983,126.891513,서울시 구로구 새말로 117-21,한국철도공사,전체_도시철도역사정보_20260228
station_unique:663,신둔도예촌역,경강선,37.315499,127.405251,경기도 이천시 신둔면 남정로 55,한국철도공사,전체_도시철도역사정보_20260228
station_unique:664,신림,2호선,37.484216,126.929573,서울특별시 관악구 남부순환로 지하1614(신림동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:665,신림,수도권 경량도시철도 신림선,37.484890755,126.92960992,서울특별시 관악구 남부순환로 지하1614 (신림동),남서울경전철 주식회사,전체_도시철도역사정보_20260228
station_unique:666,신매,대구 도시철도 2호선,35.8408,128.705,수성구 달구벌대로 지하3180 (매호동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:667,신목동,서울 도시철도 9호선,37.544167,126.883056,서울특별시 양천구 목동중앙로 지하217,서울특별시 서울시메트로9호선㈜,전체_도시철도역사정보_20260228
station_unique:668,신반포,서울 도시철도 9호선,37.5035033,126.996044,서울특별시 서초구 신반포로 지하105,서울특별시 서울시메트로9호선㈜,전체_도시철도역사정보_20260228
